"Part";"Value";"Device";"Package";"Description";"";
"BAT-3.7V";"DW02S";"CON2DW02S";"DW02S";"";"";
"BUT1";"DTSM24R(12x12x10)";"SW-TAKTSS";"SW_TAKT12X12SS";"";"";
"BUT2";"DTSM24R(12x12x10)";"SW-TAKTSS";"SW_TAKT12X12SS";"";"";
"BUT3";"DTSM24R(12x12x10)";"SW-TAKTSS";"SW_TAKT12X12SS";"";"";
"BUT4";"DTSM24R(12x12x10)";"SW-TAKTSS";"SW_TAKT12X12SS";"";"";
"BUZZER";"PT1240";"BUZ3";"BUZ14MM";"";"";
"C1";"10uF/16V/105C(5x11mm,RM2)";"CPOL-EUE2-5_BOT";"E2-5_B";"POLARIZED CAPACITOR, European symbol";"";
"C2";"100nF/2010";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C3";"100nF/2010";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"D1";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"D2";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"D3";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"D4";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"D5";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"LED1";"LED/Green/5mm";"LED5.0MM";"LED-5.0MM";"";"";
"LED2";"LED/Red/5mm";"LED5.0MM";"LED-5.0MM";"";"";
"LED3";"LED/White/5mm";"LED5.0MM";"LED-5.0MM";"";"";
"LED4";"LED/Blue/5mm";"LED5.0MM";"LED-5.0MM";"";"";
"R1";"10k/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R2";"3.9k/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R3";"22R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R4";"22R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R5";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R6";"2k/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R7";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R8";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R9";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R10";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R11";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"R12";"560R/0.25W";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";
"U1";"ATtiny85-20PU+(DIL-8)";"ATTINY85-20PU";"DIP8";"Atmel 8-bit AVR Microcontroller with 2/4/8K Bytes In-System Programmable Flash";"";
"USB";"USB-B";"USB_SHIELD";"USB_NEAR_BLACK";"";"";
